Entity,Code,Day,stringency_index
United Kingdom,GBR,01/03/20,11.11
United Kingdom,GBR,02/03/20,11.11
United Kingdom,GBR,03/03/20,11.11
United Kingdom,GBR,04/03/20,11.11
United Kingdom,GBR,05/03/20,11.11
United Kingdom,GBR,06/03/20,11.11
United Kingdom,GBR,07/03/20,11.11
United Kingdom,GBR,08/03/20,11.11
United Kingdom,GBR,09/03/20,11.11
United Kingdom,GBR,10/03/20,11.11
United Kingdom,GBR,11/03/20,11.11
United Kingdom,GBR,12/03/20,11.11
United Kingdom,GBR,13/03/20,12.96
United Kingdom,GBR,14/03/20,12.96
United Kingdom,GBR,15/03/20,12.96
United Kingdom,GBR,16/03/20,16.67
United Kingdom,GBR,17/03/20,22.22
United Kingdom,GBR,18/03/20,31.48
United Kingdom,GBR,19/03/20,31.48
United Kingdom,GBR,20/03/20,37.04
United Kingdom,GBR,21/03/20,47.22
United Kingdom,GBR,22/03/20,62.04
United Kingdom,GBR,23/03/20,78.24
United Kingdom,GBR,24/03/20,79.63
United Kingdom,GBR,25/03/20,79.63
United Kingdom,GBR,26/03/20,79.63
United Kingdom,GBR,27/03/20,79.63
United Kingdom,GBR,28/03/20,79.63
United Kingdom,GBR,29/03/20,79.63
United Kingdom,GBR,30/03/20,79.63
United Kingdom,GBR,31/03/20,79.63
United Kingdom,GBR,01/04/20,79.63
United Kingdom,GBR,02/04/20,79.63
United Kingdom,GBR,03/04/20,79.63
United Kingdom,GBR,04/04/20,79.63
United Kingdom,GBR,05/04/20,79.63
United Kingdom,GBR,06/04/20,79.63
United Kingdom,GBR,07/04/20,79.63
United Kingdom,GBR,08/04/20,79.63
United Kingdom,GBR,09/04/20,79.63
United Kingdom,GBR,10/04/20,79.63
United Kingdom,GBR,11/04/20,79.63
United Kingdom,GBR,12/04/20,79.63
United Kingdom,GBR,13/04/20,79.63
United Kingdom,GBR,14/04/20,79.63
United Kingdom,GBR,15/04/20,79.63
United Kingdom,GBR,16/04/20,79.63
United Kingdom,GBR,17/04/20,79.63
United Kingdom,GBR,18/04/20,79.63
United Kingdom,GBR,19/04/20,79.63
United Kingdom,GBR,20/04/20,79.63
United Kingdom,GBR,21/04/20,79.63
United Kingdom,GBR,22/04/20,79.63
United Kingdom,GBR,23/04/20,79.63
United Kingdom,GBR,24/04/20,79.63
United Kingdom,GBR,25/04/20,79.63
